date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:51:11	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Nov%202019%2013:51:33%20GMT	https://www.unikexploral.com/robots.txt		(from )
02:51:11	13122/13122	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202019%2013:51:33%20GMT	https://www.unikexploral.com/	C:/My%20Web%20Sites/donald1/www.unikexploral.com/index.html	(from )
02:51:13	50644/50644	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Jun%202018%2010:59:15%20GMT	https://www.unikexploral.com/css/style.css	C:/My%20Web%20Sites/donald1/www.unikexploral.com/css/style.css	(from https://www.unikexploral.com/)
02:51:13	141622/141622	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Nov%202016%2014:52:00%20GMT	https://www.unikexploral.com/css/bootstrap.css	C:/My%20Web%20Sites/donald1/www.unikexploral.com/css/bootstrap.css	(from https://www.unikexploral.com/)
02:51:13	4286/4286	---M--	200	added ('OK')	text/css	date:Wed,%2030%20Nov%202016%2017:33:06%20GMT	https://www.unikexploral.com/css/flexslider.css	C:/My%20Web%20Sites/donald1/www.unikexploral.com/css/flexslider.css	(from https://www.unikexploral.com/)
02:51:14	37414/37414	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Jun%202018%2013:41:45%20GMT	https://www.unikexploral.com/css/font-awesome.css	C:/My%20Web%20Sites/donald1/www.unikexploral.com/css/font-awesome.css	(from https://www.unikexploral.com/)
02:51:14	84345/84345	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Nov%202016%2014:52:14%20GMT	https://www.unikexploral.com/js/jquery-2.1.4.min.js	C:/My%20Web%20Sites/donald1/www.unikexploral.com/js/jquery-2.1.4.min.js	(from https://www.unikexploral.com/)
02:51:15	1294/1294	---M--	200	added ('OK')	application/javascript	date:Fri,%2009%20Jun%202017%2010:12:30%20GMT	https://www.unikexploral.com/js/jquery.countdown.min.js	C:/My%20Web%20Sites/donald1/www.unikexploral.com/js/jquery.countdown.min.js	(from https://www.unikexploral.com/)
02:51:15	11522/11522	---M--	200	added ('OK')	application/javascript	date:Wed,%2025%20Sep%202019%2000:31:18%20GMT	https://www.unikexploral.com/js/app.js	C:/My%20Web%20Sites/donald1/www.unikexploral.com/js/app.js	(from https://www.unikexploral.com/)
02:51:15	83606/83606	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Feb%202017%2011:30:12%20GMT	https://www.unikexploral.com/js/jquery2.0.3.min.js	C:/My%20Web%20Sites/donald1/www.unikexploral.com/js/jquery2.0.3.min.js	(from https://www.unikexploral.com/)
